"month","day","year","sno","state","total_schools","reported_schools","meal_not_served","food_grains","fund","cook_cum_helper","ngo_shg","holidays","others"
"1","24","2026","1","ANDHRA PRADESH","43218","43166","8","0",0,"0",0,"0","8"
"1","24","2026","2","ASSAM","43785","39612","16","2",0,"0",1,"1","12"
"1","24","2026","3","BIHAR","65961","56842","271","4",3,"13",7,"0","244"
"1","24","2026","4","DELHI","2793","2790","33","0",0,"0",0,"0","33"
"1","24","2026","5","DNH & DD","304","303","1","0",0,"0",0,"1","0"
"1","24","2026","6","GOA","1216","1185","42","1",0,"0",0,"40","1"
"1","24","2026","7","GUJARAT","32251","31510","63","0",1,"36",0,"0","26"
"1","24","2026","8","HIMACHAL PRADESH","14416","7443","46","3",0,"0",3,"26","14"
"1","24","2026","9","MADHYA PRADESH","88192","79561","393","33",0,"2",0,"1","357"
"1","24","2026","10","MAHARASHTRA","83605","74588","642","0",8,"118",0,"295","221"
"1","24","2026","11","ODISHA","50354","33063","14","0",0,"0",0,"0","14"
"1","24","2026","12","PUNJAB","19574","17053","15","0",0,"0",0,"3","12"
"1","24","2026","13","RAJASTHAN","67628","47210","3090","79",0,"21",6,"154","2830"
"1","24","2026","14","TRIPURA","4327","3740","92","3",0,"0",0,"48","41"
"1","24","2026","15","UTTAR PRADESH","141688","137036","425","6",1,"1",3,"3","411"
"1","24","2026","16","UTTARAKHAND","16273","901","3","0",0,"0",0,"2","1"
"1","24","2026","17","WEST BENGAL","81824","61361","9248","1",2,"66",38,"930","8211"
