"month","day","year","sno","state","total_schools","reported_schools","meal_not_served","food_grains","fund","cook_cum_helper","ngo_shg","holidays","others"
"1","09","2026","1","A & N ISLANDS","325","325","16","0",0,"0",0,"16","0"
"1","09","2026","2","ANDHRA PRADESH","43218","43149","2","0",0,"0",0,"0","2"
"1","09","2026","3","ASSAM","43785","34701","450","1",0,"0",0,"362","87"
"1","09","2026","4","BIHAR","65961","8652","926","0",2,"0",3,"189","732"
"1","09","2026","5","GOA","1216","1216","11","0",0,"0",0,"7","4"
"1","09","2026","6","GUJARAT","32251","31732","92","0",1,"24",1,"9","57"
"1","09","2026","7","HIMACHAL PRADESH","14416","8011","42","1",0,"0",0,"29","12"
"1","09","2026","8","MADHYA PRADESH","88192","68527","5303","106",0,"1",1,"1945","3250"
"1","09","2026","9","MAHARASHTRA","83605","78551","629","0",10,"225",0,"157","237"
"1","09","2026","10","ODISHA","50354","41441","298","0",0,"0",0,"137","161"
"1","09","2026","11","TAMIL NADU","41658","39335","206","0",0,"0",0,"138","68"
"1","09","2026","12","TRIPURA","4327","78","77","9",0,"0",0,"60","8"
"1","09","2026","13","WEST BENGAL","81824","75085","1525","1",0,"16",2,"370","1136"
