month,day,year,sno,state,total_schools,reported_schools,meal_not_served,food_grains,fund,cook_cum_helper,ngo_shg,holidays,others
1,23,2026,1,A & N ISLANDS,325,325,4,0,0,0,0,4,0
1,23,2026,2,ANDHRA PRADESH,43218,43114,2,0,0,0,0,0,2
1,23,2026,3,DELHI,2793,2755,2,0,0,0,0,0,2
1,23,2026,4,GOA,1216,1169,35,0,0,0,0,35,0
1,23,2026,5,GUJARAT,32251,25617,167,0,0,18,0,105,44
1,23,2026,6,HIMACHAL PRADESH,14416,8368,43,0,0,0,0,29,14
1,23,2026,7,MADHYA PRADESH,88192,84906,433,20,0,0,0,3,410
1,23,2026,8,MAHARASHTRA,83605,76771,732,0,6,156,0,367,203
1,23,2026,9,ODISHA,50354,13041,10,0,0,0,0,0,10
1,23,2026,10,PUNJAB,19574,15777,181,0,0,0,0,159,22
1,23,2026,11,RAJASTHAN,67628,44497,23922,43,3,9,11,22,23834
1,23,2026,12,TAMIL NADU,41658,39431,204,0,0,0,0,148,56
1,23,2026,13,TRIPURA,4327,23,11,1,0,0,0,5,5
