month,day,year,sno,state,total_schools,reported_schools,meal_not_served,food_grains,fund,cook_cum_helper,ngo_shg,holidays,others
1,14,2026,1,BIHAR,65961,80,26,0,0,0,0,25,1
1,14,2026,2,GOA,1216,1216,66,1,0,0,0,64,1
1,14,2026,3,HIMACHAL PRADESH,14416,3260,117,0,0,0,2,112,3
1,14,2026,4,MADHYA PRADESH,88192,59967,967,33,0,4,3,637,290
1,14,2026,5,MAHARASHTRA,83605,26235,2418,0,3,109,0,1863,443
1,14,2026,6,MIZORAM,2481,1760,1,0,0,0,0,0,1
1,14,2026,7,TRIPURA,4327,94,16,2,0,0,0,9,5
1,14,2026,8,WEST BENGAL,81824,40691,12698,2,0,95,16,6060,6525
