"month","day","year","sno","state","total_schools","reported_schools","meal_not_served","food_grains","fund","cook_cum_helper","ngo_shg","holidays","others"
"1","28","2026","1","ANDHRA PRADESH","43218","43014","3","0",0,"0",0,"0","3"
"1","28","2026","2","ASSAM","43785","39997","26","2",0,"1",0,"0","23"
"1","28","2026","3","BIHAR","65961","59671","28","4",0,"4",4,"0","16"
"1","28","2026","4","CHANDIGARH","116","116","4","0",0,"0",0,"0","4"
"1","28","2026","5","DELHI","2793","2692","2","0",0,"0",0,"0","2"
"1","28","2026","6","GOA","1216","1216","32","1",0,"0",0,"31","0"
"1","28","2026","7","GUJARAT","32251","31614","85","3",0,"31",0,"6","45"
"1","28","2026","8","HARYANA","14197","13520","2","0",0,"1",0,"0","1"
"1","28","2026","9","HIMACHAL PRADESH","14416","8051","36","0",0,"0",1,"28","7"
"1","28","2026","10","MADHYA PRADESH","88192","81969","429","23",2,"2",1,"1","400"
"1","28","2026","11","MAHARASHTRA","83605","60302","605","0",3,"55",0,"246","301"
"1","28","2026","12","ODISHA","50354","26937","86","0",1,"0",0,"1","84"
"1","28","2026","13","PUDUCHERRY","427","427","4","0",0,"0",0,"3","1"
"1","28","2026","14","PUNJAB","19574","18157","16","0",0,"1",0,"1","14"
"1","28","2026","15","RAJASTHAN","67628","50138","377","101",0,"34",5,"65","172"
"1","28","2026","16","TAMIL NADU","41658","37219","235","0",0,"0",0,"173","62"
"1","28","2026","17","TRIPURA","4327","4316","9","0",0,"0",0,"5","4"
"1","28","2026","18","UTTAR PRADESH","141688","132154","337","37",22,"12",15,"9","242"
"1","28","2026","19","UTTARAKHAND","16273","4571","572","0",0,"0",0,"526","46"
"1","28","2026","20","WEST BENGAL","81824","76786","1300","2",2,"11",1,"122","1162"
