"month","day","year","sno","state","total_schools","reported_schools","meal_not_served","food_grains","fund","cook_cum_helper","ngo_shg","holidays","others"
"1","30","2026","1","ANDHRA PRADESH","43218","43107","4","0",0,"0",0,"0","4"
"1","30","2026","2","ASSAM","43785","42406","1","0",0,"0",0,"0","1"
"1","30","2026","3","BIHAR","65961","55409","502","7",0,"4",1,"437","53"
"1","30","2026","4","DELHI","2793","2778","1","0",0,"0",0,"0","1"
"1","30","2026","5","GOA","1216","1216","31","0",0,"0",0,"31","0"
"1","30","2026","6","GUJARAT","32251","31587","82","3",0,"24",0,"14","41"
"1","30","2026","7","HARYANA","14197","12832","13","0",0,"1",0,"8","4"
"1","30","2026","8","HIMACHAL PRADESH","14416","9029","38","0",0,"0",0,"29","9"
"1","30","2026","9","MADHYA PRADESH","88192","84297","438","20",1,"3",0,"0","414"
"1","30","2026","10","MAHARASHTRA","83605","76583","458","0",1,"57",0,"231","169"
"1","30","2026","11","MIZORAM","2481","1875","1","0",0,"0",0,"0","1"
"1","30","2026","12","ODISHA","50354","33550","63","0",0,"0",0,"49","14"
"1","30","2026","13","PUNJAB","19574","17627","21","0",0,"0",0,"2","19"
"1","30","2026","14","RAJASTHAN","67628","50546","340","95",1,"29",3,"55","157"
"1","30","2026","15","TAMIL NADU","41658","39327","215","0",0,"0",0,"158","57"
"1","30","2026","16","TRIPURA","4327","4316","21","0",0,"0",0,"3","18"
"1","30","2026","17","UTTAR PRADESH","141688","137587","359","49",24,"14",21,"17","234"
"1","30","2026","18","UTTARAKHAND","16273","15292","1542","0",0,"0",0,"1389","153"
"1","30","2026","19","WEST BENGAL","81824","76663","1646","2",1,"10",2,"301","1330"
