month,day,year,sno,state,total_schools,reported_schools,meal_not_served,food_grains,fund,cook_cum_helper,ngo_shg,holidays,others
1,15,2026,1,A & N ISLANDS,325,325,2,0,0,0,0,2,0
1,15,2026,2,BIHAR,65961,54754,462,5,8,14,22,5,408
1,15,2026,3,GOA,1216,1172,12,0,0,0,0,11,1
1,15,2026,4,GUJARAT,32251,7593,532,1,2,25,0,484,20
1,15,2026,5,HIMACHAL PRADESH,14416,9051,31,0,0,0,0,29,2
1,15,2026,6,MADHYA PRADESH,88192,82455,3010,34,1,6,5,2583,381
1,15,2026,7,MAHARASHTRA,83605,66823,1543,0,8,212,0,977,346
1,15,2026,8,MIZORAM,2481,1839,4,0,0,0,0,1,3
1,15,2026,9,ODISHA,50354,40238,55,0,0,0,0,5,50
1,15,2026,10,RAJASTHAN,67628,42744,3658,42,0,27,35,3075,479
1,15,2026,11,TRIPURA,4327,4315,7,3,0,0,0,1,3
1,15,2026,12,UTTARAKHAND,16273,11158,1255,0,0,0,0,1214,41
1,15,2026,13,WEST BENGAL,81824,73238,6024,1,1,75,2,997,4948
