"month","day","year","sno","state","total_schools","reported_schools","meal_not_served","food_grains","fund","cook_cum_helper","ngo_shg","holidays","others"
"1","13","2026","1","A & N ISLANDS","325","325","14","0",0,"0",0,"14","0"
"1","13","2026","2","ASSAM","43785","38006","293","30",0,"0",0,"206","57"
"1","13","2026","3","BIHAR","65961","26347","794","4",1,"3",3,"83","700"
"1","13","2026","4","GOA","1216","1216","14","0",0,"0",0,"12","2"
"1","13","2026","5","GUJARAT","32251","31523","173","1",0,"24",0,"100","48"
"1","13","2026","6","HIMACHAL PRADESH","14416","6614","35","0",0,"0",0,"28","7"
"1","13","2026","7","MADHYA PRADESH","88192","85475","998","18",0,"0",3,"580","397"
"1","13","2026","8","MAHARASHTRA","83605","77433","901","0",5,"233",0,"459","204"
"1","13","2026","9","ODISHA","50354","42324","33","0",0,"0",0,"2","31"
"1","13","2026","10","RAJASTHAN","67628","41430","3621","50",2,"35",3,"2662","869"
"1","13","2026","11","TAMIL NADU","41658","38629","64","0",0,"0",0,"7","57"
"1","13","2026","12","TRIPURA","4327","4232","1482","12",0,"0",0,"1462","8"
"1","13","2026","13","WEST BENGAL","81824","69679","5677","3",0,"44",2,"2474","3154"
