"month","day","year","sno","state","total_schools","reported_schools","meal_not_served","food_grains","fund","cook_cum_helper","ngo_shg","holidays","others"
"1","22","2026","1","ANDHRA PRADESH","43218","42912","4","0",0,"0",0,"0","4"
"1","22","2026","2","ASSAM","43785","41285","4","0",1,"0",0,"0","3"
"1","22","2026","3","BIHAR","65961","59062","62","4",2,"4",1,"0","51"
"1","22","2026","4","DELHI","2793","2756","2","0",0,"0",0,"0","2"
"1","22","2026","5","GOA","1216","1216","102","2",0,"0",0,"99","1"
"1","22","2026","6","GUJARAT","32251","31734","79","3",0,"29",1,"3","43"
"1","22","2026","7","HARYANA","14197","13348","1","0",0,"0",0,"0","1"
"1","22","2026","8","HIMACHAL PRADESH","14416","8602","33","0",0,"0",0,"29","4"
"1","22","2026","9","MADHYA PRADESH","88192","85822","431","19",2,"0",0,"0","410"
"1","22","2026","10","MAHARASHTRA","83605","75343","560","0",7,"168",0,"223","162"
"1","22","2026","11","ODISHA","50354","26977","5","0",0,"0",0,"0","5"
"1","22","2026","12","PUDUCHERRY","427","427","1","0",0,"0",0,"0","1"
"1","22","2026","13","PUNJAB","19574","17505","10","0",0,"0",0,"1","9"
"1","22","2026","14","RAJASTHAN","67628","49951","270","91",1,"24",5,"31","118"
"1","22","2026","15","TAMIL NADU","41658","39794","61","1",0,"0",0,"12","48"
"1","22","2026","16","TRIPURA","4327","4316","4","0",0,"0",0,"0","4"
"1","22","2026","17","UTTAR PRADESH","141688","137880","434","30",21,"12",22,"28","321"
"1","22","2026","18","UTTARAKHAND","16273","15345","1667","0",0,"0",0,"1607","60"
