"month","day","year","sno","state","total_schools","reported_schools","meal_not_served","food_grains","fund","cook_cum_helper","ngo_shg","holidays","others"
"1","20","2026","1","A & N ISLANDS","325","325","1","0",0,"0",0,"1","0"
"1","20","2026","2","ANDHRA PRADESH","43218","43115","4","0",0,"0",0,"0","4"
"1","20","2026","3","ASSAM","43785","42084","3","2",0,"0",0,"0","1"
"1","20","2026","4","BIHAR","65961","59480","70","3",3,"11",1,"0","52"
"1","20","2026","5","DELHI","2793","2788","4","0",0,"0",0,"0","4"
"1","20","2026","6","GOA","1216","1216","8","0",0,"0",0,"8","0"
"1","20","2026","7","GUJARAT","32251","30877","129","3",1,"25",1,"21","78"
"1","20","2026","8","HARYANA","14197","13003","1","0",0,"0",0,"0","1"
"1","20","2026","9","HIMACHAL PRADESH","14416","8654","37","1",0,"0",1,"28","7"
"1","20","2026","10","MADHYA PRADESH","88192","86205","428","17",0,"2",2,"1","406"
"1","20","2026","11","MAHARASHTRA","83605","78290","433","0",4,"232",0,"65","132"
"1","20","2026","12","MIZORAM","2481","1969","1","1",0,"0",0,"0","0"
"1","20","2026","13","ODISHA","50354","36580","10","0",0,"0",0,"0","10"
"1","20","2026","14","PUNJAB","19574","16808","15","0",0,"0",0,"1","14"
"1","20","2026","15","RAJASTHAN","67628","50327","503","104",1,"24",6,"177","191"
"1","20","2026","16","TAMIL NADU","41658","39447","129","0",1,"17",0,"19","92"
"1","20","2026","17","TRIPURA","4327","4316","4","1",0,"0",0,"1","2"
"1","20","2026","18","UTTAR PRADESH","141688","134516","653","33",20,"15",25,"57","503"
"1","20","2026","19","UTTARAKHAND","16273","15447","1814","0",0,"0",0,"1598","216"
"1","20","2026","20","WEST BENGAL","81824","76987","1157","1",1,"11",2,"159","983"
