"month","day","year","sno","state","total_schools","reported_schools","meal_not_served","food_grains","fund","cook_cum_helper","ngo_shg","holidays","others"
"1","29","2026","1","ANDHRA PRADESH","43218","40593","2","0",0,"0",0,"0","2"
"1","29","2026","2","ASSAM","43785","42616","6","0",0,"0",0,"1","5"
"1","29","2026","3","BIHAR","65961","59749","33","8",0,"7",2,"0","16"
"1","29","2026","4","DELHI","2793","2734","1","0",0,"0",0,"0","1"
"1","29","2026","5","GOA","1216","1118","44","1",0,"0",0,"43","0"
"1","29","2026","6","GUJARAT","32251","31594","88","1",1,"29",0,"5","52"
"1","29","2026","7","HARYANA","14197","13359","2","0",1,"0",0,"0","1"
"1","29","2026","8","HIMACHAL PRADESH","14416","8832","36","2",0,"0",0,"29","5"
"1","29","2026","9","MADHYA PRADESH","88192","85976","458","16",3,"2",2,"1","434"
"1","29","2026","10","MAHARASHTRA","83605","77379","258","0",2,"80",0,"77","99"
"1","29","2026","11","MIZORAM","2481","1994","2","0",0,"0",0,"1","1"
"1","29","2026","12","ODISHA","50354","30030","4","0",0,"0",0,"1","3"
"1","29","2026","13","PUDUCHERRY","427","323","2","0",0,"0",0,"0","2"
"1","29","2026","14","PUNJAB","19574","17858","15","0",0,"0",0,"1","14"
"1","29","2026","15","RAJASTHAN","67628","49881","331","104",1,"26",4,"45","151"
"1","29","2026","16","TAMIL NADU","41658","39702","71","0",0,"0",0,"23","48"
"1","29","2026","17","TRIPURA","4327","4316","4","1",0,"0",0,"0","3"
"1","29","2026","18","UTTAR PRADESH","141688","138397","335","29",22,"6",22,"8","248"
"1","29","2026","19","UTTARAKHAND","16273","15199","1421","0",0,"0",0,"1340","81"
"1","29","2026","20","WEST BENGAL","81824","76862","1403","2",2,"14",3,"210","1172"
