"month","day","year","sno","state","total_schools","reported_schools","meal_not_served","food_grains","fund","cook_cum_helper","ngo_shg","holidays","others"
"1","19","2026","1","A & N ISLANDS","325","325","2","0",0,"0",0,"2","0"
"1","19","2026","2","ANDHRA PRADESH","43218","43119","6","0",0,"0",0,"0","6"
"1","19","2026","3","ASSAM","43785","42441","2","0",0,"0",0,"0","2"
"1","19","2026","4","BIHAR","65961","59051","76","3",1,"6",3,"1","62"
"1","19","2026","5","DELHI","2793","2751","3","0",0,"0",0,"0","3"
"1","19","2026","6","GOA","1216","1216","17","0",0,"0",0,"16","1"
"1","19","2026","7","GUJARAT","32251","31856","75","3",0,"28",0,"4","40"
"1","19","2026","8","HARYANA","14197","12527","1","0",0,"0",0,"0","1"
"1","19","2026","9","HIMACHAL PRADESH","14416","8780","35","0",0,"0",0,"29","6"
"1","19","2026","10","MADHYA PRADESH","88192","86501","451","17",0,"3",0,"1","430"
"1","19","2026","11","MAHARASHTRA","83605","78341","581","0",8,"252",0,"162","159"
"1","19","2026","12","MIZORAM","2481","2017","1","0",0,"0",0,"0","1"
"1","19","2026","13","ODISHA","50354","36891","44","0",0,"0",0,"15","29"
"1","19","2026","14","PUNJAB","19574","18206","18","0",0,"0",0,"1","17"
"1","19","2026","15","RAJASTHAN","67628","48308","652","72",0,"16",4,"368","192"
"1","19","2026","16","TAMIL NADU","41658","39212","68","0",0,"0",0,"22","46"
"1","19","2026","17","TRIPURA","4327","4315","4","0",0,"0",0,"0","4"
"1","19","2026","18","UTTAR PRADESH","141688","131681","683","35",21,"14",43,"61","509"
"1","19","2026","19","UTTARAKHAND","16273","14168","1433","0",0,"0",0,"1209","224"
"1","19","2026","20","WEST BENGAL","81824","76802","1162","4",1,"38",3,"128","988"
