month,day,year,sno,state,total_schools,reported_schools,meal_not_served,food_grains,fund,cook_cum_helper,ngo_shg,holidays,others
1,12,2026,1,ASSAM,43785,41241,328,0,0,0,0,276,52
1,12,2026,2,BIHAR,65961,21235,838,3,2,1,1,101,730
1,12,2026,3,GOA,1216,1216,36,0,0,0,0,36,0
1,12,2026,4,GUJARAT,32251,31772,80,2,0,28,0,7,43
1,12,2026,5,HIMACHAL PRADESH,14416,7988,34,0,0,0,0,32,2
1,12,2026,6,MADHYA PRADESH,88192,83989,1015,50,0,4,3,578,380
1,12,2026,7,MAHARASHTRA,83605,72007,1401,0,7,251,0,940,203
1,12,2026,8,ODISHA,50354,42097,24,0,0,1,0,0,23
1,12,2026,9,TAMIL NADU,41658,39582,58,1,0,0,0,6,51
1,12,2026,10,TRIPURA,4327,4147,1426,7,0,0,1,1413,5
