"month","day","year","sno","state","total_schools","reported_schools","meal_not_served","food_grains","fund","cook_cum_helper","ngo_shg","holidays","others"
"1","31","2026","1","ANDHRA PRADESH","43218","42969","4","0",0,"0",0,"0","4"
"1","31","2026","2","BIHAR","65961","58461","35","8",0,"2",0,"0","25"
"1","31","2026","3","CHANDIGARH","116","116","5","0",0,"0",0,"5","0"
"1","31","2026","4","DELHI","2793","2776","2","0",0,"0",0,"0","2"
"1","31","2026","5","GOA","1216","1216","48","1",0,"0",0,"44","3"
"1","31","2026","6","GUJARAT","32251","31514","71","1",0,"30",0,"5","35"
"1","31","2026","7","HIMACHAL PRADESH","14416","8641","46","1",0,"0",0,"29","16"
"1","31","2026","8","MADHYA PRADESH","88192","79682","367","24",1,"2",1,"1","338"
"1","31","2026","9","MAHARASHTRA","83605","74056","402","0",1,"53",0,"187","161"
"1","31","2026","10","ODISHA","50354","27760","12","0",0,"0",0,"0","12"
"1","31","2026","11","PUNJAB","19574","15019","79","0",0,"0",0,"66","13"
"1","31","2026","12","RAJASTHAN","67628","46942","1015","71",1,"40",7,"612","284"
"1","31","2026","13","TRIPURA","4327","4307","111","3",0,"0",0,"73","35"
"1","31","2026","14","UTTAR PRADESH","141688","137385","362","47",22,"13",17,"25","238"
"1","31","2026","15","UTTARAKHAND","16273","14949","1563","0",0,"0",0,"1455","108"
"1","31","2026","16","WEST BENGAL","81824","75507","2313","1",0,"13",1,"287","2011"
