"month","day","year","sno","state","total_schools","reported_schools","meal_not_served","food_grains","fund","cook_cum_helper","ngo_shg","holidays","others"
"1","10","2026","1","ASSAM","43785","30271","324","7",0,"1",0,"263","53"
"1","10","2026","2","BIHAR","65961","7320","974","0",2,"0",0,"128","844"
"1","10","2026","3","DNH & DD","304","304","2","0",0,"0",0,"2","0"
"1","10","2026","4","GOA","1216","1216","21","1",0,"0",0,"18","2"
"1","10","2026","5","GUJARAT","32251","31679","81","2",2,"32",0,"5","40"
"1","10","2026","6","MADHYA PRADESH","88192","67459","3755","132",3,"2",0,"1444","2174"
"1","10","2026","7","MAHARASHTRA","83605","77069","495","0",6,"229",0,"84","176"
"1","10","2026","8","ODISHA","50354","39240","13","0",0,"0",0,"1","12"
"1","10","2026","9","RAJASTHAN","67628","24644","8062","14",0,"6",1,"6047","1994"
"1","10","2026","10","TRIPURA","4327","60","58","4",0,"0",2,"47","5"
"1","10","2026","11","WEST BENGAL","81824","75907","1265","0",0,"22",1,"162","1080"
