month,day,year,sno,state,total_schools,reported_schools,meal_not_served,food_grains,fund,cook_cum_helper,ngo_shg,holidays,others
1,26,2026,1,HIMACHAL PRADESH,14416,76,1,0,0,0,0,1,0
1,26,2026,2,MADHYA PRADESH,88192,66109,276,18,0,0,0,1,257
1,26,2026,3,MAHARASHTRA,83605,1104,294,0,0,1,0,194,99
1,26,2026,4,ODISHA,50354,27131,15,0,0,0,0,0,15
1,26,2026,5,RAJASTHAN,67628,8296,8147,9,2,3,24,2345,5764
1,26,2026,6,TRIPURA,4327,11,6,0,0,0,0,2,4
1,26,2026,7,UTTARAKHAND,16273,7363,397,0,0,0,0,357,40
