"month","day","year","sno","state","total_schools","reported_schools","meal_not_served","food_grains","fund","cook_cum_helper","ngo_shg","holidays","others"
"2","02","2026","1","ANDHRA PRADESH","43218","42636","1","0",0,"0",0,"0","1"
"2","02","2026","2","ASSAM","43785","38764","22","1",0,"1",0,"0","20"
"2","02","2026","3","BIHAR","65961","59090","129","11",1,"7",0,"0","110"
"2","02","2026","4","DELHI","2793","2778","3","0",0,"0",0,"0","3"
"2","02","2026","5","GOA","1216","1216","47","1",0,"0",0,"46","0"
"2","02","2026","6","GUJARAT","32251","31733","85","1",0,"35",0,"9","40"
"2","02","2026","7","HARYANA","14197","13553","1","0",0,"0",0,"0","1"
"2","02","2026","8","HIMACHAL PRADESH","14416","8493","37","0",0,"0",0,"29","8"
"2","02","2026","9","MADHYA PRADESH","88192","83735","423","25",4,"1",0,"1","392"
"2","02","2026","10","MAHARASHTRA","83605","75918","649","0",1,"65",0,"436","147"
"2","02","2026","11","ODISHA","50354","28562","12","0",0,"0",0,"0","12"
"2","02","2026","12","PUNJAB","19574","17659","11","0",0,"0",0,"0","11"
"2","02","2026","13","RAJASTHAN","67628","47410","1350","73",1,"33",4,"982","257"
"2","02","2026","14","TAMIL NADU","41658","39883","79","1",0,"0",1,"23","54"
"2","02","2026","15","TRIPURA","4327","4316","5","0",0,"0",0,"1","4"
"2","02","2026","16","UTTAR PRADESH","141688","137386","492","42",20,"13",55,"30","332"
"2","02","2026","17","UTTARAKHAND","16273","15408","122","0",0,"0",0,"64","58"
"2","02","2026","18","WEST BENGAL","81824","75424","3630","0",0,"27",2,"255","3346"
