month,day,year,sno,state,total_schools,reported_schools,meal_not_served,food_grains,fund,cook_cum_helper,ngo_shg,holidays,others
1,6,2026,1,ANDHRA PRADESH,43218,43169,4,0,0,0,0,0,4
1,6,2026,2,ASSAM,43785,29692,7,0,0,0,0,4,3
1,6,2026,3,BIHAR,65961,4768,1360,2,0,1,0,176,1181
1,6,2026,4,GOA,1216,1213,38,0,0,0,0,38,0
1,6,2026,5,GUJARAT,32251,31745,90,5,0,26,0,6,53
1,6,2026,6,MADHYA PRADESH,88192,45748,2999,67,2,1,2,2725,202
1,6,2026,7,MAHARASHTRA,83605,75749,605,0,10,188,0,132,275
1,6,2026,8,ODISHA,50354,42767,17,0,0,0,0,1,16
1,6,2026,9,TAMIL NADU,41658,39580,70,0,0,0,0,8,62
1,6,2026,10,TRIPURA,4327,347,340,11,0,0,2,311,16
1,6,2026,11,WEST BENGAL,81824,69643,5002,0,0,16,3,2328,2655
