"month","day","year","sno","state","total_schools","reported_schools","meal_not_served","food_grains","fund","cook_cum_helper","ngo_shg","holidays","others"
"1","21","2026","1","A & N ISLANDS","325","325","6","0",0,"0",0,"6","0"
"1","21","2026","2","ANDHRA PRADESH","43218","43141","3","0",0,"0",0,"0","3"
"1","21","2026","3","ASSAM","43785","39768","1","0",0,"0",0,"0","1"
"1","21","2026","4","BIHAR","65961","59442","74","5",2,"3",1,"0","63"
"1","21","2026","5","DELHI","2793","2783","6","0",0,"0",0,"0","6"
"1","21","2026","6","GOA","1216","1216","21","0",0,"0",0,"21","0"
"1","21","2026","7","GUJARAT","32251","31765","71","2",0,"29",0,"3","37"
"1","21","2026","8","HARYANA","14197","13413","2","0",0,"1",0,"0","1"
"1","21","2026","9","HIMACHAL PRADESH","14416","8712","34","0",0,"0",0,"29","5"
"1","21","2026","10","MADHYA PRADESH","88192","85637","422","23",2,"1",1,"1","394"
"1","21","2026","11","MAHARASHTRA","83605","78369","380","0",9,"201",0,"28","142"
"1","21","2026","12","MIZORAM","2481","1976","1","0",0,"0",0,"0","1"
"1","21","2026","13","ODISHA","50354","35822","31","1",0,"0",0,"1","29"
"1","21","2026","14","PUDUCHERRY","427","427","1","0",0,"0",0,"0","1"
"1","21","2026","15","PUNJAB","19574","17173","18","0",0,"0",0,"3","15"
"1","21","2026","16","RAJASTHAN","67628","49408","283","83",1,"29",5,"39","126"
"1","21","2026","17","TAMIL NADU","41658","39831","78","0",0,"0",0,"13","65"
"1","21","2026","18","TRIPURA","4327","4309","5","1",0,"0",0,"1","3"
"1","21","2026","19","UTTAR PRADESH","141688","136868","520","29",25,"7",15,"39","405"
"1","21","2026","20","UTTARAKHAND","16273","15413","1804","0",0,"0",0,"1582","222"
"1","21","2026","21","WEST BENGAL","81824","76741","1226","0",1,"4",0,"177","1044"
