"month","day","year","sno","state","total_schools","reported_schools","meal_not_served","food_grains","fund","cook_cum_helper","ngo_shg","holidays","others"
"1","05","2026","1","ANDHRA PRADESH","43218","43177","3","0",0,"0",0,"0","3"
"1","05","2026","2","ASSAM","43785","33027","3","1",0,"1",0,"0","1"
"1","05","2026","3","BIHAR","65961","6185","1469","4",1,"3",1,"196","1264"
"1","05","2026","4","GOA","1216","1161","20","0",0,"0",0,"20","0"
"1","05","2026","5","GUJARAT","32251","31816","59","0",0,"24",1,"5","29"
"1","05","2026","6","MADHYA PRADESH","88192","56740","3707","107",2,"2",1,"2571","1024"
"1","05","2026","7","MAHARASHTRA","83605","78131","959","0",7,"188",0,"580","184"
"1","05","2026","8","ODISHA","50354","37390","12","0",0,"1",0,"0","11"
"1","05","2026","9","PUDUCHERRY","427","427","1","0",0,"0",0,"1","0"
"1","05","2026","10","TAMIL NADU","41658","39679","54","0",0,"0",0,"6","48"
"1","05","2026","11","TRIPURA","4327","4282","1534","4",0,"0",2,"1505","23"
"1","05","2026","12","WEST BENGAL","81824","74042","4119","3",0,"18",4,"1419","2675"
