"month","day","year","sno","state","total_schools","reported_schools","meal_not_served","food_grains","fund","cook_cum_helper","ngo_shg","holidays","others"
"1","08","2026","1","A & N ISLANDS","325","325","7","0",0,"0",0,"6","1"
"1","08","2026","2","ANDHRA PRADESH","43218","43115","3","0",0,"0",0,"0","3"
"1","08","2026","3","ASSAM","43785","31714","506","3",0,"1",0,"452","50"
"1","08","2026","4","GOA","1216","1216","13","0",0,"0",0,"13","0"
"1","08","2026","5","GUJARAT","32251","31795","80","2",1,"25",0,"4","48"
"1","08","2026","6","MADHYA PRADESH","88192","68098","5769","128",1,"1",14,"2740","2885"
"1","08","2026","7","MAHARASHTRA","83605","77368","972","0",7,"212",0,"304","449"
"1","08","2026","8","MIZORAM","2481","1495","32","0",0,"0",0,"32","0"
"1","08","2026","9","ODISHA","50354","42912","19","0",0,"0",0,"2","17"
"1","08","2026","10","TRIPURA","4327","138","135","5",0,"0",0,"122","8"
"1","08","2026","11","WEST BENGAL","81824","77235","1156","1",0,"15",2,"114","1024"
