"month","day","year","sno","state","total_schools","reported_schools","meal_not_served","food_grains","fund","cook_cum_helper","ngo_shg","holidays","others"
"1","17","2026","1","A & N ISLANDS","325","325","11","0",0,"0",0,"11","0"
"1","17","2026","2","ASSAM","43785","40965","16","1",0,"0",0,"1","14"
"1","17","2026","3","BIHAR","65961","58071","57","3",2,"8",2,"0","42"
"1","17","2026","4","DELHI","2793","2739","2","0",0,"0",0,"0","2"
"1","17","2026","5","GOA","1216","1216","34","2",0,"0",0,"30","2"
"1","17","2026","6","GUJARAT","32251","31711","75","0",1,"31",1,"4","38"
"1","17","2026","7","HIMACHAL PRADESH","14416","8534","38","1",0,"0",0,"29","8"
"1","17","2026","8","MADHYA PRADESH","88192","83558","905","35",1,"4",3,"471","391"
"1","17","2026","9","MAHARASHTRA","83605","75862","738","0",8,"228",0,"289","213"
"1","17","2026","10","ODISHA","50354","41786","113","0",0,"0",0,"75","38"
"1","17","2026","11","PUNJAB","19574","15607","46","0",0,"0",0,"35","11"
"1","17","2026","12","RAJASTHAN","67628","47597","1199","73",1,"27",3,"813","282"
"1","17","2026","13","TRIPURA","4327","4315","119","4",0,"0",0,"95","20"
"1","17","2026","14","UTTAR PRADESH","141688","104471","1163","41",23,"24",19,"364","692"
"1","17","2026","15","UTTARAKHAND","16273","13787","1923","0",0,"0",0,"1697","226"
"1","17","2026","16","WEST BENGAL","81824","75145","1762","2",1,"16",1,"345","1397"
