"month","day","year","sno","state","total_schools","reported_schools","meal_not_served","food_grains","fund","cook_cum_helper","ngo_shg","holidays","others"
"1","27","2026","1","ANDHRA PRADESH","43218","42862","3","0",0,"0",0,"0","3"
"1","27","2026","2","BIHAR","65961","59542","36","6",0,"6",1,"0","23"
"1","27","2026","3","DELHI","2793","2761","3","0",0,"0",0,"1","2"
"1","27","2026","4","GOA","1216","1216","20","0",0,"0",0,"20","0"
"1","27","2026","5","GUJARAT","32251","31801","68","2",0,"28",0,"6","32"
"1","27","2026","6","HARYANA","14197","1242","3","0",0,"0",0,"2","1"
"1","27","2026","7","HIMACHAL PRADESH","14416","6977","34","0",0,"0",0,"29","5"
"1","27","2026","8","MADHYA PRADESH","88192","85022","443","26",1,"3",1,"1","411"
"1","27","2026","9","MAHARASHTRA","83605","77935","555","0",6,"124",0,"296","129"
"1","27","2026","10","MANIPUR","3292","2165","1","1",0,"0",0,"0","0"
"1","27","2026","11","MIZORAM","2481","1637","4","0",0,"0",0,"0","4"
"1","27","2026","12","RAJASTHAN","67628","49579","7617","84",1,"28",24,"2088","5392"
"1","27","2026","13","TAMIL NADU","41658","39841","62","0",0,"0",0,"22","40"
"1","27","2026","14","TRIPURA","4327","4316","5","1",0,"0",0,"0","4"
"1","27","2026","15","UTTAR PRADESH","141688","137243","541","38",21,"6",19,"21","436"
"1","27","2026","16","UTTARAKHAND","16273","10651","754","0",0,"0",0,"725","29"
"1","27","2026","17","WEST BENGAL","81824","76605","1582","4",1,"29",1,"186","1361"
