"month","day","year","sno","state","total_schools","reported_schools","meal_not_served","food_grains","fund","cook_cum_helper","ngo_shg","holidays","others"
"1","07","2026","1","A & N ISLANDS","325","325","1","0",0,"0",0,"1","0"
"1","07","2026","2","ANDHRA PRADESH","43218","43155","4","0",0,"0",0,"0","4"
"1","07","2026","3","ASSAM","43785","34350","6","0",0,"0",0,"6","0"
"1","07","2026","4","BIHAR","65961","7783","1108","4",1,"1",2,"135","965"
"1","07","2026","5","GOA","1216","1216","16","0",0,"0",0,"16","0"
"1","07","2026","6","GUJARAT","32251","31759","72","0",0,"27",0,"7","38"
"1","07","2026","7","MADHYA PRADESH","88192","55822","4836","86",2,"0",2,"2310","2436"
"1","07","2026","8","MAHARASHTRA","83605","74830","739","0",9,"208",0,"232","290"
"1","07","2026","9","MIZORAM","2481","1433","4","0",0,"0",0,"2","2"
"1","07","2026","10","ODISHA","50354","42571","21","0",0,"0",0,"2","19"
"1","07","2026","11","TAMIL NADU","41658","37464","67","0",0,"0",0,"14","53"
"1","07","2026","12","TRIPURA","4327","142","138","15",0,"0",3,"106","14"
"1","07","2026","13","WEST BENGAL","81824","73953","1791","2",2,"19",4,"490","1274"
